"Shift #","Trip #","Operator Name","Medallion","Device Type","Chauffeur #","Meter On Datetime","Meter Off Datetime","Trip Length","Pickup Latitude","Pickup Longitude","Pickup Location","Dropoff Latitude","Dropoff Longitude","Dropoff Location","Fare","Tax","Tips","Tolls","Surcharge","Trip Total","Payment Type","Street/Dispatch"
94930675,80033,"Freedom Taxi","9055","NGP",932805,"01/01/2015 00:07","01/01/2015 00:11","1.2","39.332909","-75.673252","1414 S PENN SQ","39.937054","-75.397966","2200-28 ARCH ST","5.69","0.75","0.00","0.00","0.00","6.44","Cash","Street Hail"
28713255,15804,"Freedom Taxi","9274","NGP",981005,"01/01/2015 00:07","01/01/2015 00:11","1.3","39.337589","-75.323110","2429-41 LOCUST ST","39.084451","-75.926689","717 S CHRIS COLUMBUS BLV","5.46","0.75","0.00","0.00","0.00","6.21","Dispute","Street Hail"
81314374,14172,"Freedom Taxi","7486","NGP",439129,"01/01/2015 00:07","01/01/2015 00:16","0.9","39.364846","-75.929312","2101 MARKET ST","39.963225","-75.188173","500 ADMIRALS WAY","6.84","0.75","0.00","0.00","0.00","7.59","Cash","Street Hail"
54356794,58595,"Freedom Taxi","5698","NGP",842533,"01/01/2015 00:07","01/01/2015 00:18","2.0","39.617666","-75.376093","111 S 15TH ST","39.062991","-75.807267","237-47 S 18TH ST","8.68","0.75","0.00","0.00","0.00","9.43","Cash","Street Hail"
41520205,96333,"Quaker City Cab","0142","NGP",139391,"01/01/2015 00:07","01/01/2015 00:12","0.0","39.964841","-75.764924","1600-18 ARCH ST","39.689717","-75.468364","315 NEW ST","4.77","0.75","0.00","0.00","0.00","5.52","Cash","Street Hail"
76763868,32948,"Freedom Taxi","4103","NGP",473055,"01/01/2015 00:07","01/01/2015 00:14","2.8","39.506551","-75.105937","112 N 02ND ST","39.065951","-75.272405","110-30 BYBERRY RD","6.61","0.75","0.00","0.00","0.00","7.36","Cash","Street Hail"
39980902,34706,"Freedom Taxi","5834","NGP",087442,"01/01/2015 00:07","01/01/2015 00:11","0.9","39.561342","-75.642380","1414 S PENN SQ","39.463019","-75.014256","8030 DITMAN ST","5.00","0.75","2.00","0.00","0.00","7.75","Credit Card","Street Hail"
78456735,75485,"Freedom Taxi","4995","NGP",811389,"01/01/2015 00:08","01/01/2015 00:08","0.0","0.0467391","0.00431559","1500 CHESTNUT ST","0.0080898","0.00851263","130 S 18TH ST","2.70","0.75","0.00","0.00","0.00","3.45","Cash","Street Hail"
86181015,70478,"Freedom Taxi","6026","NGP",060272,"01/01/2015 00:08","01/01/2015 00:09","0.1","39.683100","-75.337815","1600-18 ARCH ST","39.097064","-75.966005","112 N 02ND ST","2.93","0.00","0.00","0.00","1.00","3.93","Cash","Street Hail"
78456735,97946,"Freedom Taxi","4995","NGP",811389,"01/01/2015 00:08","01/01/2015 00:24","2.6","0.0047667","0.00101058","1 BROWN ST","0.0420066","0.00119742","1352 SOUTH ST","10.98","0.75","0.00","0.00","0.00","11.73","Cash","Street Hail"
67698051,70847,"Freedom Taxi","5231","NGP",626532,"01/01/2015 00:09","01/01/2015 00:09","0.1","39.978534","-75.309431","301 BYBERRY RD","39.050980","-75.015028","441 TOMLINSON RD","2.93","0.75","1.00","0.00","0.00","4.68","Credit Card","Street Hail"
78142419,21012,"Freedom Taxi","2664","NGP",156537,"01/01/2015 00:09","01/01/2015 00:14","1.3","39.384578","-75.715714","1601 SPRING GARDEN ST","39.850854","-75.249211","1001-13 CHESTNUT ST","5.92","0.75","0.00","0.00","0.00","6.67","Cash","Street Hail"
70789505,46970,"Freedom Taxi","2285","NGP",732960,"01/01/2015 00:09","01/01/2015 00:23","3.1","39.306197","-75.628114","2401 PENNSYLVANIA AVE","39.639613","-75.581183","822-38 CHESTNUT ST","11.44","0.75","3.00","0.00","0.00","15.19","Credit Card","Street Hail"
69250282,91899,"Freedom Taxi","9309","NGP",164038,"01/01/2015 00:09","01/01/2015 00:34","10.8","39.587693","-75.933781","1234 MARKET ST","40.565214","-75.015843","815-37 ARCH ST","29.38","0.75","0.00","0.00","0.00","30.13","Cash","Street Hail"
17667509,52917,"Freedom Taxi","2999","NGP",019506,"01/01/2015 00:09","01/01/2015 00:47","9.9","39.486959","-75.565629","2301 CHERRY ST","39.853982","-75.063975","1 ACADEMY CIR","30.30","0.75","0.00","0.00","0.00","31.05","Cash","Street Hail"
14326024,78581,"Freedom Taxi","0522","NGP",944715,"01/01/2015 00:09","01/01/2015 00:14","1.3","39.509664","-75.573801","7 N CHRIS COLUMBUS BLV","39.197845","-75.554638","1010 RACE ST","5.92","0.75","1.20","0.00","0.00","7.87","Credit Card","Street Hail"
69179929,38348,"Freedom Taxi","5116","NGP",606379,"01/01/2015 00:09","01/01/2015 00:22","4.9","39.539288","-75.354036","301 RACE ST","39.265113","-75.783210","1701-15 LOCUST ST","14.89","0.75","0.00","0.00","0.00","15.64","Cash","Street Hail"
49946516,39704,"Freedom Taxi","5716","NGP",874652,"01/01/2015 00:09","01/01/2015 00:23","2.7","39.311748","-75.183313","220 W RITTENHOUSE SQ","39.512798","-75.713772","250 S 13TH ST","10.75","0.75","0.00","0.00","0.00","11.50","Cash","Street Hail"
24675118,64257,"Freedom Taxi","6204","NGP",679267,"01/01/2015 00:09","01/01/2015 00:15","1.2","39.580852","-75.397957","130 S 18TH ST","39.525040","-75.153681","1101 LOCUST ST","6.15","0.75","0.00","0.00","0.00","6.90","Cash","Street Hail"
65685107,50932,"Freedom Taxi","9758","NGP",452410,"01/01/2015 00:09","01/01/2015 00:28","0.0","39.561046","-75.672912","3850 WOODHAVEN RD","40.817331","-75.787020","5100 CONVENT LA","23.40","0.75","0.00","0.00","0.00","24.15","Cash","Street Hail"
09639340,87342,"Freedom Taxi","8777","NGP",927877,"01/01/2015 00:09","01/01/2015 00:15","1.6","39.405828","-75.842038","4601 FLAT ROCK RD","39.155997","-75.731105","7600 E ROOSEVELT BLV","6.84","0.75","0.00","0.00","0.00","7.59","Cash","Street Hail"
08193468,94952,"Freedom Taxi","3358","NGP",366853,"01/01/2015 00:09","01/01/2015 00:19","2.4","39.317384","-75.649808","1425 LOCUST ST","39.021604","-75.568322","50 S 16TH ST","9.37","0.75","0.00","0.00","0.00","10.12","Cash","Street Hail"
03569060,12305,"Freedom Taxi","4846","NGP",998979,"01/01/2015 00:10","01/01/2015 00:18","2.0","39.012544","-75.141351","6901-29 VALLEY AVE","39.571554","-75.442748","8712 FRANKFORD AVE","8.22","0.75","0.00","0.00","0.00","8.97","Cash","Street Hail"
88945843,65238,"Quaker City Cab","6102","NGP",828083,"01/01/2015 00:10","01/01/2015 00:15","0.0","39.219980","-75.070966","9921 BUSTLETON AVE","39.971882","-75.176242","9926 HALDEMAN AVE","5.92","0.75","0.00","0.00","0.00","6.67","Cash","Street Hail"
83486798,19769,"Freedom Taxi","0503","NGP",616336,"01/01/2015 00:10","01/01/2015 00:22","3.5","39.180096","-75.466126","1027-31 ARCH ST","39.275474","-75.026342","1420 LOCUST ST","11.90","0.75","0.00","0.00","0.00","12.65","Cash","Street Hail"
15688898,39362,"Freedom Taxi","1334","NGP",922392,"01/01/2015 00:10","01/01/2015 00:16","1.2","39.092776","-75.820394","1520-28 SPRUCE ST","39.933237","-75.028208","444 N 04TH ST","6.15","0.75","0.00","0.00","0.00","6.90","Cash","Street Hail"
35635619,01233,"Freedom Taxi","2435","NGP",100555,"01/01/2015 00:10","01/01/2015 00:19","1.8","0.0302130","0.00339437","125-27 N 04TH ST","0.0127545","0.00397299","901 N PENN ST","7.76","0.75","0.00","0.00","0.00","8.51","Cash","Street Hail"
31918468,80880,"Freedom Taxi","2275","NGP",625594,"01/01/2015 00:10","01/01/2015 00:16","0.7","39.059011","-75.191716","1147-53 N 04TH ST","39.709572","-75.507768","130 SPRUCE ST","5.00","0.75","0.00","0.00","0.00","5.75","Cash","Street Hail"
98522122,61974,"Freedom Taxi","9148","NGP",908940,"01/01/2015 00:10","01/01/2015 00:13","0.3","39.701093","-75.166628","301 BYBERRY RD","39.358328","-75.649911","9908 BUSTLETON AVE","4.31","0.00","3.00","0.00","0.75","8.06","Credit Card","Street Hail"
21959884,93884,"Freedom Taxi","8426","NGP",498341,"01/01/2015 00:10","01/01/2015 00:28","2.8","39.570311","-75.090922","210 W WASHINGTON SQ","39.496207","-75.044641","2601 PENNSYLVANIA AVE","11.90","0.75","0.00","0.00","0.00","12.65","Cash","Street Hail"
53348946,04086,"Freedom Taxi","5162","NGP",204559,"01/01/2015 00:11","01/01/2015 00:18","1.5","39.662016","-75.585268","2200 ARCH ST","39.368956","-75.198171","1900 HAMILTON ST","7.07","0.75","0.00","0.00","0.00","7.82","Cash","Street Hail"
04513609,11075,"Freedom Taxi","8389","NGP",162263,"01/01/2015 00:11","01/01/2015 00:15","0.6","39.427154","-75.187321","604-36 S WASHINGTON SQ","39.970900","-75.202261","1420 LOCUST STREET","4.54","0.75","0.00","0.00","0.00","5.29","Cash","Street Hail"
06940825,70884,"Freedom Taxi","9204","NGP",663180,"01/01/2015 00:11","01/01/2015 00:18","1.6","39.773300","-75.189192","700 COMMODORE CT","39.324815","-75.881163","23 S 23RD ST","7.07","0.75","5.00","0.00","0.00","12.82","Credit Card","Street Hail"
02819435,50223,"Freedom Taxi","2385","NGP",622962,"01/01/2015 00:11","01/01/2015 00:16","0.8","39.186508","-75.341010","309-13 ARCH ST","39.738123","-75.938921","1630-90 WELSH RD","4.77","0.75","0.00","0.00","0.00","5.52","Cash","Street Hail"
62311150,97158,"Freedom Taxi","3134","NGP",221755,"01/01/2015 00:10","01/01/2015 00:18","0.7","39.588101","-75.963657","1 BROWN ST","39.031294","-75.993822","901 N PENN","6.84","0.00","0.00","0.00","0.90","7.74","Cash","Street Hail"
40736866,18677,"Freedom Taxi","3159","NGP",802317,"01/01/2015 00:11","01/01/2015 00:20","1.0","39.841390","-75.642967","2401 PENNSYLVANIA AVE","39.187178","-75.434807","2401 PENNSYLVANIA AVE","9.83","0.00","2.15","0.00","1.00","12.98","Credit Card","Street Hail"
79174734,43621,"Freedom Taxi","0632","NGP",196351,"01/01/2015 00:11","01/01/2015 00:22","1.9","39.109671","-75.838237","1420 LOCUST","39.257095","-75.145509","511-19 N BROAD ST","8.68","0.75","0.00","0.00","0.00","9.43","Cash","Street Hail"
73306357,11040,"Quaker City Cab","4290","NGP",538453,"01/01/2015 00:11","01/01/2015 00:25","0.0","39.961606","-75.868913","110-30 BYBERRY RD","39.224423","-75.585573","1238 CALLOWHILL ST","7.99","0.75","0.00","0.00","0.00","8.74","Cash","Street Hail"
07041002,42618,"Freedom Taxi","0006","NGP",691241,"01/01/2015 00:11","01/01/2015 00:14","0.5","39.123089","-75.947739","130-36 BREAD ST","39.808247","-75.385742","1666 CALLOWHILL ST","3.85","0.75","2.00","0.00","0.00","6.60","Credit Card","Street Hail"
46143836,34724,"Freedom Taxi","4921","NGP",123435,"01/01/2015 00:11","01/01/2015 00:23","0.0","39.069876","-75.388920","412 N FRONT ST","39.149039","-75.859652","1520-28 SPRUCE ST","9.83","0.75","0.00","0.00","0.00","10.58","Cash","Street Hail"
57211404,16933,"Quaker City Cab","0769","NGP",602244,"01/01/2015 00:11","01/01/2015 00:16","0.0","39.631104","-75.697653","8030 DITMAN ST","39.662527","-75.747953","2001 HAMILTON","5.00","0.75","0.00","0.00","0.00","5.75","Cash","Street Hail"
10617383,84890,"Freedom Taxi","3045","MKC",839675,"01/01/2015 00:11","01/01/2015 00:15","1.0","39.063073","-75.829337","441 TOMLINSON RD","39.180253","-75.203560","219-29 S 18TH ST","5.23","0.75","0.00","0.00","0.00","5.98","Cash","Street Hail"
47021216,03825,"Freedom Taxi","1496","NGP",278463,"01/01/2015 00:11","01/01/2015 00:15","1.4","39.081933","-75.570099","101-11 ARCH ST","39.808278","-75.641135","1101 WASHINGTON AVE","6.15","0.75","1.00","0.00","0.00","7.90","Credit Card","Street Hail"
20795151,08543,"Freedom Taxi","0330","NGP",003510,"01/01/2015 00:11","01/01/2015 00:15","0.6","39.781982","-75.142041","1420 LOCUST STREET","39.844755","-75.828640","9906 BUSTLETON AVE","4.31","0.75","0.00","0.00","0.00","5.06","Cash","Street Hail"
85671732,07689,"Freedom Taxi","3981","NGP",863541,"01/01/2015 00:12","01/01/2015 00:12","0.0","39.551212","-75.134506","2201 CHERRY ST","39.515692","-75.442653","1714 MEMPHIS ST","2.70","0.75","0.00","0.00","0.00","3.45","Cash","Street Hail"
55209483,63380,"Freedom Taxi","3261","NGP",993957,"01/01/2015 00:12","01/01/2015 00:15","0.8","39.145544","-75.190423","1706 RITTENHOUSE SQ","39.344631","-75.156472","7923-31 RIDGE AVE","4.54","0.75","1.00","0.00","0.00","6.29","Credit Card","Street Hail"
64550851,10705,"Freedom Taxi","5915","NGP",188141,"01/01/2015 00:12","01/01/2015 00:33","4.6","39.517411","-75.714973","1008-20 SPRUCE ST","39.048719","-75.791949","1201-15 FITZWATER ST","16.04","0.75","0.00","0.00","0.00","16.79","Cash","Street Hail"
66276228,19118,"Quaker City Cab","3152","NGP",324977,"01/01/2015 00:12","01/01/2015 00:21","0.0","0.0492556","0.00668155","2135 WALNUT ST","0.0595082","0.00690337","428-40 N 13TH ST","8.22","0.75","0.00","0.00","0.00","8.97","Cash","Street Hail"
94930675,13501,"Freedom Taxi","9055","NGP",932805,"01/01/2015 00:12","01/01/2015 00:24","4.6","39.174207","-75.132046","1900 HAMILTON ST","39.231489","-75.016627","23 S 23RD ST","14.43","0.75","3.00","0.00","0.00","18.18","Credit Card","Street Hail"
04260840,47051,"Freedom Taxi","3417","NGP",410823,"01/01/2015 00:12","01/01/2015 00:27","3.4","39.196084","-75.375021","1414 S PENN SQ","39.121635","-75.638229","224-30 W RITTENHOUSE SQ","12.36","0.75","0.00","0.00","0.00","13.11","Cash","Street Hail"
32592948,35940,"Freedom Taxi","3512","NGP",427656,"01/01/2015 00:12","01/01/2015 00:21","2.1","39.036336","-75.568712","1830 RITTENHOUSE SQ","39.766817","-75.190071","2275 BRIDGE ST","8.22","0.75","0.00","0.00","0.00","8.97","Cash","Street Hail"
19851337,43255,"Freedom Taxi","8444","NGP",924688,"01/01/2015 00:13","01/01/2015 00:21","1.7","39.004809","-75.980671","1228-32 ARCH ST","39.728459","-75.249101","1420 LOCUST ST","7.99","0.75","0.00","0.00","0.00","8.74","Cash","Street Hail"
59662311,77012,"Freedom Taxi","4631","NGP",136744,"01/01/2015 00:13","01/01/2015 00:28","2.9","39.105576","-75.553131","317 VINE ST","39.271415","-75.489205","9712-26 BUSTLETON AVE","11.67","0.75","0.00","0.00","0.00","12.42","Cash","Street Hail"
52466154,92822,"Freedom Taxi","9913","NGP",031431,"01/01/2015 00:13","01/01/2015 00:26","3.4","39.538803","-75.188500","1900 RITTENHOUSE SQ","39.017558","-75.577551","50 S 16TH ST","10.75","0.75","2.30","0.00","0.00","13.80","Credit Card","Street Hail"
79744281,67435,"Quaker City Cab","6881","NGP",598172,"01/01/2015 00:13","01/01/2015 00:25","0.0","39.267475","-75.454571","2101 MARKET","39.976266","-75.928751","121-35 WALNUT ST","8.45","0.75","0.00","0.00","0.00","9.20","Cash","Street Hail"
02740507,81455,"Freedom Taxi","7653","NGP",810821,"01/01/2015 00:13","01/01/2015 00:20","0.0","39.178831","-75.356847","1 CHRISTIAN ST","39.168303","-75.271335","2018-32 WALNUT ST","7.53","0.75","0.00","0.00","0.00","8.28","Cash","Street Hail"
93774926,35737,"Freedom Taxi","8406","NGP",491986,"01/01/2015 00:14","01/01/2015 00:18","0.5","0.0764783","0.00944225","314-22 N 12TH ST","0.0170939","0.00789607","6635 MC CALLUM ST","4.31","0.75","0.00","0.00","0.00","5.06","Cash","Street Hail"
24804836,89976,"Freedom Taxi","7755","NGP",779660,"01/01/2015 00:14","01/01/2015 00:20","1.8","39.935815","-75.194026","113 BREAD ST","39.261737","-75.232810","2001 HAMILTON ST","7.07","0.75","0.00","0.00","0.00","7.82","Cash","Street Hail"
95952025,88242,"Freedom Taxi","4630","NGP",787059,"01/01/2015 00:14","01/01/2015 00:27","1.8","39.087857","-75.587310","3750 CLARENDON AVE","39.757813","-75.218228","500 REGATTA DR","8.68","0.75","2.00","0.00","0.00","11.43","Credit Card","Street Hail"
82561912,91202,"Freedom Taxi","1877","NGP",085800,"01/01/2015 00:14","01/01/2015 00:29","2.4","39.064502","-75.249722","12135 ACADEMY RD","39.072775","-75.786473","1666 CALLOWHILL ST","10.29","0.75","0.00","0.00","0.00","11.04","Cash","Street Hail"
67698051,17156,"Freedom Taxi","5231","NGP",626532,"01/01/2015 00:14","01/01/2015 00:22","1.4","39.866125","-75.609735","5100 CONVENT LA","39.918544","-75.199887","1010 ARCH ST","6.84","0.75","3.00","0.00","0.00","10.59","Credit Card","Street Hail"
60341923,74383,"Freedom Taxi","1281","NGP",082717,"01/01/2015 00:14","01/01/2015 00:23","1.3","39.677561","-75.677335","444 N 04TH ST","39.849060","-75.378750","2601 PENNSYLVANIA AVE","7.30","0.75","0.00","0.00","0.00","8.05","Cash","Street Hail"
39687474,64188,"Freedom Taxi","9358","NGP",102221,"01/01/2015 00:14","01/01/2015 00:26","2.8","39.824626","-75.949009","908-10 SPRUCE ST","39.537868","-75.750043","1811-19 CHESTNUT ST","10.06","0.75","0.00","0.00","0.00","10.81","Cash","Street Hail"
07705739,59394,"Freedom Taxi","0933","NGP",515867,"01/01/2015 00:14","01/01/2015 00:19","1.1","39.221183","-75.831760","237-47 S 18TH ST","39.125246","-75.235377","3750 WOODHAVEN RD","5.69","0.75","1.00","0.00","0.00","7.44","Credit Card","Street Hail"
85999239,02979,"Freedom Taxi","6200","NGP",863308,"01/01/2015 00:15","01/01/2015 00:21","1.7","39.213051","-75.294225","1008-20 SPRUCE ST","39.811378","-75.163506","2601 PENNSYLVANIA","7.07","0.75","0.00","0.00","0.00","7.82","Credit Card","Street Hail"
98051759,19249,"Freedom Taxi","2703","NGP",033878,"01/01/2015 00:15","01/01/2015 00:23","0.0","39.464569","-75.684345","2401 PENNSYLVANIA AVENUE","39.961857","-75.753878","2 LEVERINGTON AVE","7.99","0.75","0.00","0.00","0.00","8.74","Cash","Street Hail"
39545808,80102,"Freedom Taxi","2288","NGP",586068,"01/01/2015 00:15","01/01/2015 00:21","1.1","39.879003","-75.485353","6751 N 13TH ST","39.618709","-75.051097","3750-78 MAIN ST","5.92","0.75","0.00","0.00","0.00","6.67","Cash","Street Hail"
53953803,79068,"Freedom Taxi","5910","NGP",906066,"01/01/2015 00:15","01/01/2015 00:23","0.7","39.603908","-75.930341","429 N 13TH ST","39.368034","-75.160873","102-22 CHURCH ST","8.68","0.75","0.00","0.00","0.00","9.43","Cash","Street Hail"
18753157,96482,"Freedom Taxi","5932","NGP",993917,"01/01/2015 00:15","01/01/2015 00:21","2.3","39.068523","-75.971424","250 S 17TH ST","39.174467","-75.077614","182 GAY ST","5.69","0.75","0.00","0.00","0.00","6.44","Cash","Street Hail"
88754337,70473,"Quaker City Cab","8952","NGP",775797,"01/01/2015 00:15","01/01/2015 00:19","0.0","39.600476","-75.980343","3850 WOODHAVEN RD","39.382056","-75.543418","1820 RITTENHOUSE SQ","5.00","0.75","0.00","0.00","0.00","5.75","Cash","Street Hail"
04942261,20366,"Freedom Taxi","3024","NGP",306487,"01/01/2015 00:15","01/01/2015 00:26","1.5","39.228785","-75.259320","926-28 RACE ST","39.253150","-75.396635","1414 S PENN SQ","8.45","0.75","0.00","0.00","0.00","9.20","Cash","Street Hail"
88945843,23097,"Quaker City Cab","6102","NGP",828083,"01/01/2015 00:16","01/01/2015 00:36","0.0","39.342792","-75.556417","604 S WASHINGTON SQ","40.499944","-75.336220","315 ARCH ST","35.82","0.75","0.00","0.00","0.00","36.57","Cash","Street Hail"
04513609,27496,"Freedom Taxi","8389","NGP",162263,"01/01/2015 00:16","01/01/2015 00:20","0.7","39.347968","-75.269981","1420 LOCUST ST","39.400726","-75.921012","2101 MARKET ST","5.00","0.75","0.00","0.00","0.00","5.75","Cash","Street Hail"
69979591,91226,"Freedom Taxi","1135","NGP",872269,"01/01/2015 00:16","01/01/2015 00:18","0.5","39.977194","-75.001250","1210-26 BUTTONWOOD ST","39.716957","-75.046256","9908 BUSTLETON AVE","4.08","0.75","2.00","0.00","0.00","6.83","Credit Card","Street Hail"
63414358,41250,"Freedom Taxi","8676","NGP",318596,"01/01/2015 00:16","01/01/2015 00:19","0.6","39.528768","-75.256665","1600 ARCH ST","39.451779","-75.591337","231-35 N 02ND ST","4.31","0.75","1.00","0.00","0.00","6.06","Credit Card","Street Hail"
90930525,95934,"Freedom Taxi","4067","MKC",490822,"01/01/2015 00:15","01/01/2015 00:41","1.7","39.883304","-75.119163","300 BYBERRY RD","39.990921","-75.781917","4000 GYPSY LANE","13.28","0.75","0.00","0.00","0.00","14.03","Cash","Street Hail"
37668910,21109,"Freedom Taxi","0543","NGP",878460,"01/01/2015 00:16","01/01/2015 00:20","0.4","39.075189","-75.441809","205-11 N 04TH ST","39.154897","-75.446588","9926 HALDEMAN AVE","5.00","0.00","0.00","0.00","0.75","5.75","Cash","Street Hail"
94329175,92822,"Freedom Taxi","4171","NGP",049872,"01/01/2015 00:16","01/01/2015 01:01","0.8","39.133218","-75.178063","2101 MARKET STREET","40.016414","-75.981405","2107 FAUNCE","30.07","0.75","2.00","0.00","0.00","32.82","Credit Card","Street Hail"
